Nr_Parameter;Bezeichnung_Parameter;Nr_Alternative;Bezeichnung_Alternative;Wert_Parameter
0;Grundnutzen;1;11;0
0;Grundnutzen;2;41;-1.94479368
0;Grundnutzen;3;42;-1.335239935
1;male;1;11;0
1;male;2;41;-0.310317266
1;male;3;42;-0.145050436
2;0;1;11;0
2;0;2;41;0
2;0;3;42;0
3;dauer_akt_1bis14;1;11;0
3;dauer_akt_1bis14;2;41;2.1573683322
3;dauer_akt_1bis14;3;42;0.5567614325
4;dauer_akt_15bis29;1;11;0
4;dauer_akt_15bis29;2;41;2.6737752774
4;dauer_akt_15bis29;3;42;0.7302867327
5;dauer_akt_30bis59;1;11;0
5;dauer_akt_30bis59;2;41;2.3062145928
5;dauer_akt_30bis59;3;42;0.5118857409
6;0;1;11;0
6;0;2;41;0
6;0;3;42;0
7;dauer_akt_60bis119;1;11;0
7;dauer_akt_60bis119;2;41;1.5515236623
7;dauer_akt_60bis119;3;42;0.4420389563
8;0;1;11;0
8;0;2;41;0
8;0;3;42;0
9;dauer_akt_120bis179;1;11;0
9;dauer_akt_120bis179;2;41;0.8505437409
9;dauer_akt_120bis179;3;42;0.4634160372
10;dauer_akt_180bis239;1;11;0
10;dauer_akt_180bis239;2;41;0.6524603785
10;dauer_akt_180bis239;3;42;0.4623546362
11;0;1;11;0
11;0;2;41;0
11;0;3;42;0
12;tag_fr;1;11;0
12;tag_fr;2;41;0.4188715875
12;tag_fr;3;42;0.260666264
13;tag_sa;1;11;0
13;tag_sa;2;41;1.2744602847
13;tag_sa;3;42;1.0633594112
14;tag_so;1;11;0
14;tag_so;2;41;-1.232361486
14;tag_so;3;42;-0.944049892
15;0;1;11;0
15;0;2;41;0
15;0;3;42;0
16;beruf_vollzeit;1;11;0
16;beruf_vollzeit;2;41;-0.057907995
16;beruf_vollzeit;3;42;0.2926676256
17;beruf_teilzeit;1;11;0
17;beruf_teilzeit;2;41;0.1467571187
17;beruf_teilzeit;3;42;0.2382578528
18;beruf_schueler;1;11;0
18;beruf_schueler;2;41;-0.099403111
18;beruf_schueler;3;42;0.293276909
19;0;1;11;0
19;0;2;41;0
19;0;3;42;0
20;alter_10bis17;1;11;0
20;alter_10bis17;2;41;-0.655990257
20;alter_10bis17;3;42;0.0954716967
21;alter_18bis25;1;11;0
21;alter_18bis25;2;41;-0.652713392
21;alter_18bis25;3;42;0.1019691274
22;0;1;11;0
22;0;2;41;0
22;0;3;42;0
23;0;1;11;0
23;0;2;41;0
23;0;3;42;0
24;0;1;11;0
24;0;2;41;0
24;0;3;42;0
25;0;1;11;0
25;0;2;41;0
25;0;3;42;0
26;0;1;11;0
26;0;2;41;0
26;0;3;42;0
27;0;1;11;0
27;0;2;41;0
27;0;3;42;0
28;0;1;11;0
28;0;2;41;0
28;0;3;42;0
29;0;1;11;0
29;0;2;41;0
29;0;3;42;0
30;0;1;11;0
30;0;2;41;0
30;0;3;42;0
31;0;1;11;0
31;0;2;41;0
31;0;3;42;0
32;0;1;11;0
32;0;2;41;0
32;0;3;42;0
33;0;1;11;0
33;0;2;41;0
33;0;3;42;0
34;0;1;11;0
34;0;2;41;0
34;0;3;42;0
35;0;1;11;0
35;0;2;41;0
35;0;3;42;0
36;0;1;11;0
36;0;2;41;0
36;0;3;42;0
37;0;1;11;0
37;0;2;41;0
37;0;3;42;0
38;0;1;11;0
38;0;2;41;0
38;0;3;42;0
39;0;1;11;0
39;0;2;41;0
39;0;3;42;0
40;0;1;11;0
40;0;2;41;0
40;0;3;42;0
41;0;1;11;0
41;0;2;41;0
41;0;3;42;0
42;0;1;11;0
42;0;2;41;0
42;0;3;42;0
43;0;1;11;0
43;0;2;41;0
43;0;3;42;0
44;0;1;11;0
44;0;2;41;0
44;0;3;42;0
45;0;1;11;0
45;0;2;41;0
45;0;3;42;0
46;0;1;11;0
46;0;2;41;0
46;0;3;42;0
47;0;1;11;0
47;0;2;41;0
47;0;3;42;0
48;0;1;11;0
48;0;2;41;0
48;0;3;42;0
49;0;1;11;0
49;0;2;41;0
49;0;3;42;0
50;0;1;11;0
50;0;2;41;0
50;0;3;42;0
