Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
tag_sa;11;1.0140
tag_sa;12;0.8534
tag_sa;13;1.5343
tag_sa;14;1.0333
tag_sa;15;1.5491
tag_so;1;0
tag_so;2;-0.4361
tag_so;3;-0.4345
tag_so;4;-0.4651
tag_so;5;-0.4193
tag_so;6;-0.1632
tag_so;7;-0.1891
tag_so;8;0.1879
tag_so;9;0.1568
tag_so;10;0.0888
tag_so;11;-0.2084
tag_so;12;-0.8065
tag_so;13;0.9731
tag_so;14;-0.1743
tag_so;15;0.2623
anzaktwieanztagemitzweck;1;0
anzaktwieanztagemitzweck;2;0.3080
anzaktwieanztagemitzweck;3;0.6601
anzaktwieanztagemitzweck;4;0.9000
anzaktwieanztagemitzweck;5;1.0860
anzaktwieanztagemitzweck;6;1.2714
anzaktwieanztagemitzweck;7;1.2703
anzaktwieanztagemitzweck;8;1.5200
anzaktwieanztagemitzweck;9;1.7356
anzaktwieanztagemitzweck;10;1.8403
anzaktwieanztagemitzweck;11;2.8849
anzaktwieanztagemitzweck;12;2.7083
anzaktwieanztagemitzweck;13;2.7619
anzaktwieanztagemitzweck;14;2.4470
anzaktwieanztagemitzweck;15;2.4448
aktzweck_work;1;0
aktzweck_work;2;-0.1306
aktzweck_work;3;-0.2555
aktzweck_work;4;-0.0757
aktzweck_work;5;0.1639
aktzweck_work;6;0.6585
aktzweck_work;7;1.1769
aktzweck_work;8;1.0159
aktzweck_work;9;1.1293
aktzweck_work;10;1.0412
aktzweck_work;11;2.0727
aktzweck_work;12;0.8355
aktzweck_work;13;1.3736
aktzweck_work;14;0.8452
aktzweck_work;15;-0.5300
aktzweck_education;1;0
aktzweck_education;2;0.9541
aktzweck_education;3;1.3719
aktzweck_education;4;1.8109
aktzweck_education;5;1.3686
aktzweck_education;6;1.4960
aktzweck_education;7;1.4827
aktzweck_education;8;1.6191
aktzweck_education;9;1.4966
aktzweck_education;10;1.4571
aktzweck_education;11;3.1937
aktzweck_education;12;1.7864
aktzweck_education;13;2.7232
aktzweck_education;14;-9.9897
