Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;0;0
Grundnutzen;1;-1.5334
Grundnutzen;2;-2.6983
Grundnutzen;3;-3.3992
Grundnutzen;4;-4.5555
Grundnutzen;5;-4.4273
tourliegtvorhaupttour;0;0
tourliegtvorhaupttour;1;-0.5963
tourliegtvorhaupttour;2;-0.9454
tourliegtvorhaupttour;3;-0.9943
tourliegtvorhaupttour;4;-1.6154
tourliegtvorhaupttour;5;-1.8531
tourliegtnachhaupttour;0;0
tourliegtnachhaupttour;1;-0.7165
tourliegtnachhaupttour;2;-1.0733
tourliegtnachhaupttour;3;-1.5503
tourliegtnachhaupttour;4;-1.8120
tourliegtnachhaupttour;5;-1.8879
tourtyp_work;0;0
tourtyp_work;1;-0.3789
tourtyp_work;2;-0.1161
tourtyp_work;3;-0.7125
tourtyp_work;4;-0.2830
tourtyp_work;5;-0.9325
tourtyp_education;0;0
tourtyp_education;1;-1.4326
tourtyp_education;2;-1.1785
tourtyp_education;3;-1.9518
tourtyp_education;4;-1.5008
tourtyp_education;5;-2.6543
tourtyp_shopping;0;0
tourtyp_shopping;1;0.1317
tourtyp_shopping;2;0.0488
tourtyp_shopping;3;-0.1926
tourtyp_shopping;4;0.0747
tourtyp_shopping;5;-0.7311
tourtyp_transport;0;0
tourtyp_transport;1;-0.4666
tourtyp_transport;2;-0.2580
tourtyp_transport;3;-0.5158
tourtyp_transport;4;-0.1849
tourtyp_transport;5;-0.4100
tag_sa;0;0
tag_sa;1;-0.1720
tag_sa;2;-0.2537
tag_sa;3;-0.3903
tag_sa;4;-0.2954
tag_sa;5;-0.5969
tag_so;0;0
tag_so;1;-0.5308
tag_so;2;-1.0807
tag_so;3;-1.3523
tag_so;4;-1.0478
tag_so;5;-2.2775
alter_18bis35;0;0
alter_18bis35;1;0.3741
alter_18bis35;2;0.3858
alter_18bis35;3;0.3273
alter_18bis35;4;0.1626
alter_18bis35;5;0.4454
alter_36bis50;0;0
alter_36bis50;1;0.2290
alter_36bis50;2;0.1643
alter_36bis50;3;0.0822
alter_36bis50;4;0.0455
alter_36bis50;5;0.0800
alter_51bis60;0;0
alter_51bis60;1;0.0832
alter_51bis60;2;0.1188
alter_51bis60;3;0.0762
alter_51bis60;4;0.0991
alter_51bis60;5;0.4022
taghat1tour;0;0
taghat1tour;1;1.0682
taghat1tour;2;1.7630
taghat1tour;3;2.2201
taghat1tour;4;2.4098
taghat1tour;5;3.1419
taghat2touren;0;0
taghat2touren;1;0.5393
taghat2touren;2;0.8818
taghat2touren;3;1.0280
taghat2touren;4;1.2911
taghat2touren;5;1.5784
mean_1akt;0;0
mean_1akt;1;-3.1187
mean_1akt;2;-4.9836
mean_1akt;3;-16.8269
mean_1akt;4;-17.0225
mean_1akt;5;-17.3409
mean_2akt;0;0
mean_2akt;1;-1.4959
mean_2akt;2;-2.3602
mean_2akt;3;-3.5207
mean_2akt;4;-4.0460
mean_2akt;5;-5.4947
mean_3akt;0;0
mean_3akt;1;-0.5852
mean_3akt;2;-0.9110
mean_3akt;3;-1.3387
mean_3akt;4;-1.6038
mean_3akt;5;-2.6838
