Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;yes;0
Grundnutzen;no;-0.2409
anztourenvorhaupttour;yes;0
anztourenvorhaupttour;no;-0.3678
anztourennachhaupttour;yes;0
anztourennachhaupttour;no;-0.2897
tourhat1akt;yes;0
tourhat1akt;no;-0.1876
alter_10bis17;yes;0
alter_10bis17;no;-0.8706
tourtyp_work;yes;0
tourtyp_work;no;-0.3522
tag_sa;yes;0
tag_sa;no;1.4061
tag_so;yes;0
tag_so;no;1.7576
dauer_akt_in_tour_2bis4std;yes;0
dauer_akt_in_tour_2bis4std;no;0.3190
dauer_akt_in_tour_4bis6std;yes;0
dauer_akt_in_tour_4bis6std;no;-0.5283
dauer_akt_in_tour_6bis8std;yes;0
dauer_akt_in_tour_6bis8std;no;-0.5120
dauer_akt_in_tour_8bis10std;yes;0
dauer_akt_in_tour_8bis10std;no;-0.9989
dauer_akt_in_tour_10bis12std;yes;0
dauer_akt_in_tour_10bis12std;no;-1.0021
dauer_akt_vorht_tag_1bis120;yes;0
dauer_akt_vorht_tag_1bis120;no;0.8132
std_start_T1_6_7_Uhr;yes;0
std_start_T1_6_7_Uhr;no;-0.1871
std_start_T1_7_8_Uhr;yes;0
std_start_T1_7_8_Uhr;no;-0.3214
