Slot;Anzahl
1801;3
1802;1
1803;4
1804;2
1805;6
1806;1
1807;0
1808;0
1809;1
1810;5
1811;1
1812;0
1813;0
1814;2
1815;5
1816;2
1817;3
1818;0
1819;1
1820;6
1821;4
1822;0
1823;2
1824;1
1825;6
1826;2
1827;0
1828;0
1829;2
1830;10
1831;1
1832;2
1833;5
1834;0
1835;6
1836;4
1837;2
1838;3
1839;0
1840;14
1841;3
1842;1
1843;2
1844;2
1845;5
1846;1
1847;0
1848;4
1849;0
1850;10
1851;0
1852;4
1853;0
1854;0
1855;7
1856;2
1857;2
1858;1
1859;1
1860;4
1861;4
1862;1
1863;0
1864;0
1865;10
1866;3
1867;1
1868;0
1869;1
1870;8
1871;0
1872;2
1873;0
1874;1
1875;9
1876;2
1877;1
1878;2
1879;2
1880;9
1881;0
1882;1
1883;2
1884;1
1885;12
1886;3
1887;3
1888;2
1889;2
1890;5
1891;2
1892;1
1893;2
1894;0
1895;8
1896;2
1897;2
1898;0
1899;2
1900;7
1901;1
1902;3
1903;3
1904;2
1905;10
1906;1
1907;4
1908;0
1909;1
1910;7
1911;1
1912;3
1913;1
1914;2
1915;7
1916;3
1917;2
1918;2
1919;2
1920;11
1921;2
1922;1
1923;3
1924;4
1925;8
1926;2
1927;0
1928;3
1929;3
1930;11
1931;2
1932;2
1933;5
1934;2
1935;5
1936;1
1937;5
1938;3
1939;1
1940;9
1941;3
1942;3
1943;3
1944;0
1945;7
1946;0
1947;2
1948;1
1949;0
1950;6
1951;2
1952;4
1953;1
1954;4
1955;8
1956;1
1957;1
1958;3
1959;0
1960;13
1961;3
1962;2
1963;2
1964;2
1965;6
1966;0
1967;5
1968;2
1969;0
1970;6
1971;2
1972;1
1973;3
1974;4
1975;10
1976;3
1977;3
1978;3
1979;1
1980;11
1981;2
1982;4
1983;4
1984;3
1985;8
1986;3
1987;3
1988;6
1989;3
1990;6
1991;0
1992;1
1993;3
1994;1
1995;10
1996;0
1997;2
1998;3
1999;2
2000;11
2001;2
2002;2
2003;2
2004;2
2005;8
2006;4
2007;3
2008;5
2009;0
2010;15
2011;3
2012;4
2013;0
2014;1
2015;10
2016;1
2017;1
2018;3
2019;1
2020;12
2021;0
2022;2
2023;0
2024;0
2025;9
2026;2
2027;3
2028;3
2029;0
2030;8
2031;3
2032;2
2033;2
2034;3
2035;6
2036;2
2037;0
2038;0
2039;1
2040;15
2041;0
2042;4
2043;1
2044;5
2045;6
2046;4
2047;1
2048;4
2049;3
2050;10
2051;2
2052;3
2053;2
2054;5
2055;11
2056;3
2057;3
2058;1
2059;1
2060;7
2061;3
2062;4
2063;3
2064;1
2065;9
2066;1
2067;3
2068;1
2069;1
2070;9
2071;1
2072;2
2073;3
2074;2
2075;8
2076;5
2077;4
2078;2
2079;2
2080;6
2081;0
2082;4
2083;2
2084;1
2085;6
2086;1
2087;1
2088;4
2089;2
2090;7
2091;2
2092;0
2093;2
2094;0
2095;7
2096;4
2097;2
2098;2
2099;3
2100;17
