Slot;Anzahl
240;142
241;8
242;7
243;10
244;4
245;74
246;14
247;15
248;10
249;11
250;81
251;0
252;3
253;12
254;5
255;87
256;5
257;5
258;5
259;9
260;81
261;4
262;7
263;6
264;3
265;40
266;3
267;7
268;7
269;3
270;81
271;2
272;3
273;7
274;6
275;41
276;9
277;5
278;8
279;5
280;40
281;8
282;4
283;4
284;2
285;41
286;1
287;3
288;2
289;4
290;20
291;2
292;3
293;4
294;1
295;20
296;1
297;1
298;3
299;2
