Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;W;-1.6982
Grundnutzen;E;-1.2102
Grundnutzen;L;0
Grundnutzen;S;-0.2896
Grundnutzen;T;-0.5102
tourliegtvorhaupttour;W;0.2652
tourliegtvorhaupttour;E;-0.1735
tourliegtvorhaupttour;L;0
tourliegtvorhaupttour;S;0.4685
tourliegtvorhaupttour;T;0.3259
tourliegtnachhaupttour;W;-0.0328
tourliegtnachhaupttour;E;-1.2508
tourliegtnachhaupttour;L;0
tourliegtnachhaupttour;S;-0.1368
tourliegtnachhaupttour;T;0.3171
aktliegtvorhauptakt;W;0.8281
aktliegtvorhauptakt;E;0.9232
aktliegtvorhauptakt;L;0
aktliegtvorhauptakt;S;-0.1613
aktliegtvorhauptakt;T;0.5881
tourtyp_work;W;2.9160
tourtyp_work;E;1.1085
tourtyp_work;L;0
tourtyp_work;S;0.9678
tourtyp_work;T;1.0137
tourtyp_education;W;1.4195
tourtyp_education;E;1.3120
tourtyp_education;L;0
tourtyp_education;S;0.6501
tourtyp_education;T;0.5672
tourtyp_shopping;W;1.0241
tourtyp_shopping;E;0.8789
tourtyp_shopping;L;0
tourtyp_shopping;S;1.7814
tourtyp_shopping;T;1.1928
tourtyp_transport;W;0.8938
tourtyp_transport;E;-0.1551
tourtyp_transport;L;0
tourtyp_transport;S;1.1717
tourtyp_transport;T;1.3146
tag_fr;W;-0.2467
tag_fr;E;-0.5384
tag_fr;L;0
tag_fr;S;-0.00215
tag_fr;T;-0.0264
tag_sa;W;-1.4383
tag_sa;E;-3.0813
tag_sa;L;0
tag_sa;S;-0.3740
tag_sa;T;-0.6922
tag_so;W;-1.7615
tag_so;E;-2.7102
tag_so;L;0
tag_so;S;-2.0753
tag_so;T;-0.9313
haupttour_work;W;-0.5643
haupttour_work;E;-0.1757
haupttour_work;L;0
haupttour_work;S;-0.0343
haupttour_work;T;0.0241
haupttour_education;W;-0.2211
haupttour_education;E;-0.8118
haupttour_education;L;0
haupttour_education;S;-0.1284
haupttour_education;T;-0.2241
haupttour_shopping;W;0.2582
haupttour_shopping;E;-0.2551
haupttour_shopping;L;0
haupttour_shopping;S;-0.1403
haupttour_shopping;T;-0.0995
haupttour_transport;W;0.2261
haupttour_transport;E;-0.3626
haupttour_transport;L;0
haupttour_transport;S;-0.2957
haupttour_transport;T;-0.0195
tourhat2akt;W;-1.1914
tourhat2akt;E;-0.0548
tourhat2akt;L;0
tourhat2akt;S;0.4346
tourhat2akt;T;0.3532
tourhat3akt;W;-0.3814
tourhat3akt;E;0.4142
tourhat3akt;L;0
tourhat3akt;S;0.1806
tourhat3akt;T;0.4179
tourhat4akt;W;-0.4260
tourhat4akt;E;0.0536
tourhat4akt;L;0
tourhat4akt;S;0.1775
tourhat4akt;T;0.1415
anzahl_arbeitstage0;W;-16.2867
anzahl_arbeitstage0;E;-0.1357
anzahl_arbeitstage0;L;0
anzahl_arbeitstage0;S;-0.0357
anzahl_arbeitstage0;T;-0.0887
anzahl_bildungstage0;W;0.2050
anzahl_bildungstage0;E;-20.7038
anzahl_bildungstage0;L;0
anzahl_bildungstage0;S;0.1476
anzahl_bildungstage0;T;0.0895
anzahl_shoppingtage0;W;0.5511
anzahl_shoppingtage0;E;-0.1372
anzahl_shoppingtage0;L;0
anzahl_shoppingtage0;S;-16.8443
anzahl_shoppingtage0;T;0.2009
anzahl_transporttage0;W;0.2282
anzahl_transporttage0;E;0.2432
anzahl_transporttage0;L;0
anzahl_transporttage0;S;-0.1487
anzahl_transporttage0;T;-17.9573
anzahl_arbeitstage1;W;-0.7809
anzahl_arbeitstage1;E;-0.1555
anzahl_arbeitstage1;L;0
anzahl_arbeitstage1;S;-0.0262
anzahl_arbeitstage1;T;-0.1132
anzahl_bildungstage1;W;0.5050
anzahl_bildungstage1;E;-1.3224
anzahl_bildungstage1;L;0
anzahl_bildungstage1;S;0.1196
anzahl_bildungstage1;T;-0.1142
anzahl_shoppingtage1;W;0.4023
anzahl_shoppingtage1;E;-0.0549
anzahl_shoppingtage1;L;0
anzahl_shoppingtage1;S;-1.2287
anzahl_shoppingtage1;T;0.1095
anzahl_transporttage1;W;0.1984
anzahl_transporttage1;E;0.3539
anzahl_transporttage1;L;0
anzahl_transporttage1;S;-0.0937
anzahl_transporttage1;T;-1.3423
