Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
Grundnutzen;1;-2.6967
Grundnutzen;2;-3.7312
Grundnutzen;3;-4.9095
Grundnutzen;4;-5.2542
Grundnutzen;5;-5.2060
Grundnutzen;6;-5.7256
Grundnutzen;7;-18.3579
Grundnutzen;0;0
beruf_vollzeit;1;1.3924
beruf_vollzeit;2;2.2435
beruf_vollzeit;3;3.2366
beruf_vollzeit;4;4.5024
beruf_vollzeit;5;5.4192
beruf_vollzeit;6;4.9968
beruf_vollzeit;7;4.8243
beruf_vollzeit;0;0
beruf_teilzeit;1;1.9951
beruf_teilzeit;2;3.2298
beruf_teilzeit;3;3.9843
beruf_teilzeit;4;4.5377
beruf_teilzeit;5;4.5107
beruf_teilzeit;6;4.2828
beruf_teilzeit;7;4.3736
beruf_teilzeit;0;0
beruf_schueler;1;0.4496
beruf_schueler;2;0.4710
beruf_schueler;3;0.7842
beruf_schueler;4;1.2901
beruf_schueler;5;1.1691
beruf_schueler;6;0.8078
beruf_schueler;7;-10.1760
beruf_schueler;0;0
beruf_azubi;1;0.4207
beruf_azubi;2;0.5813
beruf_azubi;3;1.4839
beruf_azubi;4;2.5183
beruf_azubi;5;2.1640
beruf_azubi;6;1.3241
beruf_azubi;7;2.1563
beruf_azubi;0;0
alter_10bis17;1;-0.6668
alter_10bis17;2;-1.3165
alter_10bis17;3;-1.3236
alter_10bis17;4;-1.0378
alter_10bis17;5;-0.7940
alter_10bis17;6;-1.9561
alter_10bis17;7;1.1626
alter_10bis17;0;0
alter_18bis25;1;0.5526
alter_18bis25;2;1.0806
alter_18bis25;3;1.3074
alter_18bis25;4;1.2678
alter_18bis25;5;1.7500
alter_18bis25;6;0.9081
alter_18bis25;7;12.1348
alter_18bis25;0;0
alter_26bis35;1;0.8903
alter_26bis35;2;1.3150
alter_26bis35;3;2.0831
alter_26bis35;4;1.9770
alter_26bis35;5;2.1937
alter_26bis35;6;1.4656
alter_26bis35;7;12.5538
alter_26bis35;0;0
alter_36bis50;1;0.4840
alter_36bis50;2;1.0986
alter_36bis50;3;1.9625
alter_36bis50;4;1.9111
alter_36bis50;5;2.2435
alter_36bis50;6;1.3610
alter_36bis50;7;12.6949
alter_36bis50;0;0
alter_51bis60;1;0.2741
alter_51bis60;2;0.4613
alter_51bis60;3;1.3826
alter_51bis60;4;1.3704
alter_51bis60;5;1.6490
alter_51bis60;6;0.7854
alter_51bis60;7;12.2650
alter_51bis60;0;0
alter_61bis70;1;0.0507
alter_61bis70;2;0.2806
alter_61bis70;3;0.7616
alter_61bis70;4;0.5493
alter_61bis70;5;0.5787
alter_61bis70;6;-0.0174
alter_61bis70;7;11.5783
alter_61bis70;0;0
Raumtyp_mobitopp_conurbation;1;0.0963
Raumtyp_mobitopp_conurbation;2;0.0951
Raumtyp_mobitopp_conurbation;3;0.2233
Raumtyp_mobitopp_conurbation;4;0.2128
Raumtyp_mobitopp_conurbation;5;0.1144
Raumtyp_mobitopp_conurbation;6;-0.2214
Raumtyp_mobitopp_conurbation;7;-0.3178
Raumtyp_mobitopp_conurbation;0;0
Raumtyp_mobitopp_rural;1;0.2612
Raumtyp_mobitopp_rural;2;-0.3103
Raumtyp_mobitopp_rural;3;-0.3370
Raumtyp_mobitopp_rural;4;0.1159
Raumtyp_mobitopp_rural;5;0.2653
Raumtyp_mobitopp_rural;6;0.5503
Raumtyp_mobitopp_rural;7;0.5613
Raumtyp_mobitopp_rural;0;0
haushalthatkinderunter10;1;-0.2274
haushalthatkinderunter10;2;-0.2287
haushalthatkinderunter10;3;-0.5606
haushalthatkinderunter10;4;-0.5594
haushalthatkinderunter10;5;-0.4192
haushalthatkinderunter10;6;-0.7847
haushalthatkinderunter10;7;-0.7393
haushalthatkinderunter10;0;0
male;1;0.2584
male;2;0.3238
male;3;0.3756
male;4;0.2290
male;5;0.3755
male;6;0.6314
male;7;0.0489
male;0;0
