Slot;Anzahl;Anzahl_Sum;relativer_Anteil;relativer_Anteil_Sum
1801;3;3;0.0031055901;0.0031055901
1802;1;4;0.0010351967;0.0041407867
1803;4;8;0.0041407867;0.0082815735
1804;2;10;0.0020703934;0.0103519669
1805;6;16;0.0062111801;0.016563147
1806;1;17;0.0010351967;0.0175983437
1807;0;17;0;0.0175983437
1808;0;17;0;0.0175983437
1809;1;18;0.0010351967;0.0186335404
1810;5;23;0.0051759834;0.0238095238
1811;1;24;0.0010351967;0.0248447205
1812;0;24;0;0.0248447205
1813;0;24;0;0.0248447205
1814;2;26;0.0020703934;0.0269151139
1815;5;31;0.0051759834;0.0320910973
1816;2;33;0.0020703934;0.0341614907
1817;3;36;0.0031055901;0.0372670807
1818;0;36;0;0.0372670807
1819;1;37;0.0010351967;0.0383022774
1820;6;43;0.0062111801;0.0445134576
1821;4;47;0.0041407867;0.0486542443
1822;0;47;0;0.0486542443
1823;2;49;0.0020703934;0.0507246377
1824;1;50;0.0010351967;0.0517598344
1825;6;56;0.0062111801;0.0579710145
1826;2;58;0.0020703934;0.0600414079
1827;0;58;0;0.0600414079
1828;0;58;0;0.0600414079
1829;2;60;0.0020703934;0.0621118012
1830;10;70;0.0103519669;0.0724637681
1831;1;71;0.0010351967;0.0734989648
1832;2;73;0.0020703934;0.0755693582
1833;5;78;0.0051759834;0.0807453416
1834;0;78;0;0.0807453416
1835;6;84;0.0062111801;0.0869565217
1836;4;88;0.0041407867;0.0910973085
1837;2;90;0.0020703934;0.0931677019
1838;3;93;0.0031055901;0.0962732919
1839;0;93;0;0.0962732919
1840;14;107;0.0144927536;0.1107660455
1841;3;110;0.0031055901;0.1138716356
1842;1;111;0.0010351967;0.1149068323
1843;2;113;0.0020703934;0.1169772257
1844;2;115;0.0020703934;0.119047619
1845;5;120;0.0051759834;0.1242236025
1846;1;121;0.0010351967;0.1252587992
1847;0;121;0;0.1252587992
1848;4;125;0.0041407867;0.1293995859
1849;0;125;0;0.1293995859
1850;10;135;0.0103519669;0.1397515528
1851;0;135;0;0.1397515528
1852;4;139;0.0041407867;0.1438923395
1853;0;139;0;0.1438923395
1854;0;139;0;0.1438923395
1855;7;146;0.0072463768;0.1511387164
1856;2;148;0.0020703934;0.1532091097
1857;2;150;0.0020703934;0.1552795031
1858;1;151;0.0010351967;0.1563146998
1859;1;152;0.0010351967;0.1573498965
1860;4;156;0.0041407867;0.1614906832
1861;4;160;0.0041407867;0.16563147
1862;1;161;0.0010351967;0.1666666667
1863;0;161;0;0.1666666667
1864;0;161;0;0.1666666667
1865;10;171;0.0103519669;0.1770186335
1866;3;174;0.0031055901;0.1801242236
1867;1;175;0.0010351967;0.1811594203
1868;0;175;0;0.1811594203
1869;1;176;0.0010351967;0.182194617
1870;8;184;0.0082815735;0.1904761905
1871;0;184;0;0.1904761905
1872;2;186;0.0020703934;0.1925465839
1873;0;186;0;0.1925465839
1874;1;187;0.0010351967;0.1935817805
1875;9;196;0.0093167702;0.2028985507
1876;2;198;0.0020703934;0.2049689441
1877;1;199;0.0010351967;0.2060041408
1878;2;201;0.0020703934;0.2080745342
1879;2;203;0.0020703934;0.2101449275
1880;9;212;0.0093167702;0.2194616977
1881;0;212;0;0.2194616977
1882;1;213;0.0010351967;0.2204968944
1883;2;215;0.0020703934;0.2225672878
1884;1;216;0.0010351967;0.2236024845
1885;12;228;0.0124223602;0.2360248447
1886;3;231;0.0031055901;0.2391304348
1887;3;234;0.0031055901;0.2422360248
1888;2;236;0.0020703934;0.2443064182
1889;2;238;0.0020703934;0.2463768116
