Bezeichnung_Parameter;Bezeichnung_Alternative;Wert_Parameter
mittl_zeit_akt_15bis29min;10;-11.3310
mittl_zeit_akt_15bis29min;11;-8.8366
mittl_zeit_akt_15bis29min;12;-6.1782
mittl_zeit_akt_15bis29min;13;-11.2282
mittl_zeit_akt_15bis29min;14;-10.5276
mittl_zeit_akt_15bis29min;15;-13.9949
mittl_zeit_akt_30bis59min;1;0
mittl_zeit_akt_30bis59min;2;-0.1700
mittl_zeit_akt_30bis59min;3;-0.3560
mittl_zeit_akt_30bis59min;4;-1.2217
mittl_zeit_akt_30bis59min;5;-2.3032
mittl_zeit_akt_30bis59min;6;-3.4341
mittl_zeit_akt_30bis59min;7;-3.7375
mittl_zeit_akt_30bis59min;8;-3.8187
mittl_zeit_akt_30bis59min;9;-2.4383
mittl_zeit_akt_30bis59min;10;-11.0005
mittl_zeit_akt_30bis59min;11;-1.9848
mittl_zeit_akt_30bis59min;12;-10.7970
mittl_zeit_akt_30bis59min;13;-2.3844
mittl_zeit_akt_30bis59min;14;-2.4958
mittl_zeit_akt_30bis59min;15;-13.2962
mittl_zeit_akt_60bis119min;1;0
mittl_zeit_akt_60bis119min;2;-0.00124
mittl_zeit_akt_60bis119min;3;-0.0540
mittl_zeit_akt_60bis119min;4;-0.2956
mittl_zeit_akt_60bis119min;5;-0.9683
mittl_zeit_akt_60bis119min;6;-1.6629
mittl_zeit_akt_60bis119min;7;-2.0416
mittl_zeit_akt_60bis119min;8;-2.0283
mittl_zeit_akt_60bis119min;9;-1.5086
mittl_zeit_akt_60bis119min;10;-1.9795
mittl_zeit_akt_60bis119min;11;-3.4394
mittl_zeit_akt_60bis119min;12;-1.4447
mittl_zeit_akt_60bis119min;13;-1.8131
mittl_zeit_akt_60bis119min;14;-9.9963
mittl_zeit_akt_60bis119min;15;-2.5368
tag_so;1;0
tag_so;2;-0.5397
tag_so;3;-0.5572
tag_so;4;-0.4219
tag_so;5;-0.3919
tag_so;6;-0.8637
tag_so;7;-0.7218
tag_so;8;0.1358
tag_so;9;-0.5631
tag_so;10;0.3793
tag_so;11;-0.1950
tag_so;12;0.4566
tag_so;13;0.5406
tag_so;14;-9.5699
tag_so;15;0.2256
aktzweck_work;1;0
aktzweck_work;2;0.3120
aktzweck_work;3;0.0778
aktzweck_work;4;0.0468
aktzweck_work;5;0.0667
aktzweck_work;6;0.5634
aktzweck_work;7;0.8002
aktzweck_work;8;0.8580
aktzweck_work;9;1.3866
aktzweck_work;10;1.7187
aktzweck_work;11;2.4411
aktzweck_work;12;0.9122
aktzweck_work;13;1.0854
aktzweck_work;14;-0.2192
aktzweck_work;15;-0.9029
aktzweck_education;1;0
aktzweck_education;2;0.0852
aktzweck_education;3;0.0666
aktzweck_education;4;0.6223
aktzweck_education;5;0.4506
aktzweck_education;6;0.7653
aktzweck_education;7;0.7524
aktzweck_education;8;2.0199
aktzweck_education;9;1.6784
aktzweck_education;10;2.9852
aktzweck_education;11;1.9649
aktzweck_education;12;2.6997
aktzweck_education;13;2.5262
aktzweck_education;14;-8.2578
aktzweck_education;15;-10.1763
aktzweck_shopping;1;0
aktzweck_shopping;2;0.6187
aktzweck_shopping;3;0.4243
aktzweck_shopping;4;-0.1837
